core_id,comparison,language,script_a,script_b,noise_level,layer,distance
CA01,Native_vs_Romanized,Hindi,Devanagari,Latin,Formal,2,0.09523392
CA01,Native_vs_Romanized,Hindi,Devanagari,Latin,Formal,6,0.08501309
CA01,Native_vs_Romanized,Hindi,Devanagari,Latin,Formal,12,0.007939339
CA01,Native_vs_Romanized,Hindi,Devanagari,Latin,SMS/Noisy,2,0.122238874
CA01,Native_vs_Romanized,Hindi,Devanagari,Latin,SMS/Noisy,6,0.088478446
CA01,Native_vs_Romanized,Hindi,Devanagari,Latin,SMS/Noisy,12,0.0073843
CA01,Native_vs_Romanized,Marathi,Devanagari,Latin,Formal,2,0.12477946
CA01,Native_vs_Romanized,Marathi,Devanagari,Latin,Formal,6,0.10119939
CA01,Native_vs_Romanized,Marathi,Devanagari,Latin,Formal,12,0.010953307
CA01,Native_vs_Romanized,Marathi,Devanagari,Latin,SMS/Noisy,2,0.07324648
CA01,Native_vs_Romanized,Marathi,Devanagari,Latin,SMS/Noisy,6,0.067067444
CA01,Native_vs_Romanized,Marathi,Devanagari,Latin,SMS/Noisy,12,0.006530106
CA01,Formal_vs_Noisy,English,Latin,Latin,Formal_vs_SMS,2,0.02921164
CA01,Formal_vs_Noisy,English,Latin,Latin,Formal_vs_SMS,6,0.06281805
CA01,Formal_vs_Noisy,English,Latin,Latin,Formal_vs_SMS,12,0.0068009496
CA01,Formal_vs_Noisy,Hindi,Devanagari,Devanagari,Formal_vs_SMS,2,0.06265098
CA01,Formal_vs_Noisy,Hindi,Devanagari,Devanagari,Formal_vs_SMS,6,0.053842247
CA01,Formal_vs_Noisy,Hindi,Devanagari,Devanagari,Formal_vs_SMS,12,0.0025345683
CA01,Formal_vs_Noisy,Hindi,Latin,Latin,Formal_vs_SMS,2,0.058057904
CA01,Formal_vs_Noisy,Hindi,Latin,Latin,Formal_vs_SMS,6,0.063633084
CA01,Formal_vs_Noisy,Hindi,Latin,Latin,Formal_vs_SMS,12,0.0057290196
CA01,Formal_vs_Noisy,Marathi,Devanagari,Devanagari,Formal_vs_SMS,2,0.086325824
CA01,Formal_vs_Noisy,Marathi,Devanagari,Devanagari,Formal_vs_SMS,6,0.059401333
CA01,Formal_vs_Noisy,Marathi,Devanagari,Devanagari,Formal_vs_SMS,12,0.0054627657
CA01,Formal_vs_Noisy,Marathi,Latin,Latin,Formal_vs_SMS,2,0.08416402
CA01,Formal_vs_Noisy,Marathi,Latin,Latin,Formal_vs_SMS,6,0.104197204
CA01,Formal_vs_Noisy,Marathi,Latin,Latin,Formal_vs_SMS,12,0.0074032545
CA02,Native_vs_Romanized,Hindi,Devanagari,Latin,Formal,2,0.101890564
CA02,Native_vs_Romanized,Hindi,Devanagari,Latin,Formal,6,0.10584599
CA02,Native_vs_Romanized,Hindi,Devanagari,Latin,Formal,12,0.011279583
CA02,Native_vs_Romanized,Hindi,Devanagari,Latin,SMS/Noisy,2,0.103349805
CA02,Native_vs_Romanized,Hindi,Devanagari,Latin,SMS/Noisy,6,0.0677169
CA02,Native_vs_Romanized,Hindi,Devanagari,Latin,SMS/Noisy,12,0.0071250796
CA02,Native_vs_Romanized,Marathi,Devanagari,Latin,Formal,2,0.11564124
CA02,Native_vs_Romanized,Marathi,Devanagari,Latin,Formal,6,0.0903039
CA02,Native_vs_Romanized,Marathi,Devanagari,Latin,Formal,12,0.009307146
CA02,Native_vs_Romanized,Marathi,Devanagari,Latin,SMS/Noisy,2,0.15493965
CA02,Native_vs_Romanized,Marathi,Devanagari,Latin,SMS/Noisy,6,0.13334692
CA02,Native_vs_Romanized,Marathi,Devanagari,Latin,SMS/Noisy,12,0.01147294
CA02,Formal_vs_Noisy,English,Latin,Latin,Formal_vs_SMS,2,0.017838538
CA02,Formal_vs_Noisy,English,Latin,Latin,Formal_vs_SMS,6,0.029118419
CA02,Formal_vs_Noisy,English,Latin,Latin,Formal_vs_SMS,12,0.0026795864
CA02,Formal_vs_Noisy,Hindi,Devanagari,Devanagari,Formal_vs_SMS,2,0.027974784
CA02,Formal_vs_Noisy,Hindi,Devanagari,Devanagari,Formal_vs_SMS,6,0.034472466
CA02,Formal_vs_Noisy,Hindi,Devanagari,Devanagari,Formal_vs_SMS,12,0.0028192997
