token_count,tree_depth,mean_dependency_distance,pos_diversity,morph_feature_coverage,gender_masc_count,gender_fem_count,gender_neut_count,parse_success,id,core_id,language,script,noise_level,category
5,2,1.75,4,0.8,0,0,1,True,MC01_EN_LAT_FORMAL,MC01,English,Latin,Formal,Missing Context
4,3,1.3333333333333333,4,0.75,0,0,1,True,MC01_EN_LAT_NOISY,MC01,English,Latin,SMS/Noisy,Missing Context
8,3,1.7142857142857142,6,0.75,3,0,0,True,MC01_HI_DEV_FORMAL,MC01,Hindi,Devanagari,Formal,Missing Context
11,4,2.2,7,0.6363636363636364,5,0,0,True,MC01_HI_DEV_NOISY,MC01,Hindi,Devanagari,SMS/Noisy,Missing Context
8,3,2.2857142857142856,2,0.875,7,0,0,True,MC01_HI_LAT_FORMAL,MC01,Hindi,Latin,Formal,Missing Context
10,3,1.8888888888888888,3,0.8,5,0,0,True,MC01_HI_LAT_NOISY,MC01,Hindi,Latin,SMS/Noisy,Missing Context
7,3,2.1666666666666665,5,0.42857142857142855,0,0,3,True,MC01_MR_DEV_FORMAL,MC01,Marathi,Devanagari,Formal,Missing Context
7,3,1.6666666666666667,4,0.5714285714285714,1,0,2,True,MC01_MR_DEV_NOISY,MC01,Marathi,Devanagari,SMS/Noisy,Missing Context
8,4,2.0,3,0.25,1,0,0,True,MC01_MR_LAT_FORMAL,MC01,Marathi,Latin,Formal,Missing Context
8,2,1.3333333333333333,5,0.625,2,0,0,True,MC01_MR_LAT_NOISY,MC01,Marathi,Latin,SMS/Noisy,Missing Context
8,3,2.142857142857143,7,0.875,0,0,1,True,MC02_EN_LAT_FORMAL,MC02,English,Latin,Formal,Missing Context
5,4,1.5,4,1.0,0,0,1,True,MC02_EN_LAT_NOISY,MC02,English,Latin,SMS/Noisy,Missing Context
8,3,2.142857142857143,6,0.875,1,2,0,True,MC02_HI_DEV_FORMAL,MC02,Hindi,Devanagari,Formal,Missing Context
9,3,2.875,6,0.7777777777777778,0,2,0,True,MC02_HI_DEV_NOISY,MC02,Hindi,Devanagari,SMS/Noisy,Missing Context
8,3,1.8571428571428572,3,0.125,1,0,0,True,MC02_HI_LAT_FORMAL,MC02,Hindi,Latin,Formal,Missing Context
9,3,2.375,2,0.8888888888888888,8,0,0,True,MC02_HI_LAT_NOISY,MC02,Hindi,Latin,SMS/Noisy,Missing Context
8,3,2.142857142857143,5,0.625,2,0,0,True,MC02_MR_DEV_FORMAL,MC02,Marathi,Devanagari,Formal,Missing Context
11,3,3.0,6,0.45454545454545453,1,0,1,True,MC02_MR_DEV_NOISY,MC02,Marathi,Devanagari,SMS/Noisy,Missing Context
8,4,1.7142857142857142,3,0.25,1,0,0,True,MC02_MR_LAT_FORMAL,MC02,Marathi,Latin,Formal,Missing Context
12,4,2.1,3,0.5833333333333334,3,0,0,True,MC02_MR_LAT_NOISY,MC02,Marathi,Latin,SMS/Noisy,Missing Context
7,3,2.0,5,0.7142857142857143,0,0,0,True,MC03_EN_LAT_FORMAL,MC03,English,Latin,Formal,Missing Context
